cluster,lat,lng
88.0,40.784856000000005,-73.9558655
89.0,40.750221091603045,-73.99144588549619
90.0,40.79539619999999,-73.97307844999999
91.0,40.73535157142857,-73.9828219047619
92.0,40.70238633333334,-74.01309233333335
93.0,40.770946642857155,-73.9872409642857
94.0,40.76047501204818,-73.97950640963859
95.0,40.795393749999995,-73.95032475000001
96.0,40.72269295238095,-73.98299585714287
97.0,40.7434305,-73.92102725
98.0,40.7656066,-73.98055120000001
99.0,40.720301589285704,-73.99408695535715
100.0,40.709421,-74.01194774999999
101.0,40.75274275,-73.98862475000001
102.0,40.770112,-73.86401775
103.0,40.75513193023255,-73.99180672093021
104.0,40.711234999999995,-73.94865966666667
105.0,40.717308333333335,-73.95833599999999
106.0,40.738039789473675,-74.00391310526315
107.0,40.76490896296296,-73.99587118518518
108.0,40.7204441875,-74.00330925
109.0,40.72497300000001,-74.00433729166669
110.0,40.76398809638554,-73.97687101204819
111.0,40.719038,-73.96098261538462
112.0,40.79927974285714,-73.97034308571429
113.0,40.7163374,-73.9615646
114.0,40.76935764367816,-73.9549131149425
115.0,40.75823716666667,-73.93767416666667
116.0,40.720817909090904,-73.95674409090908
117.0,40.783225241935504,-73.95079045161293
118.0,40.780667151515146,-73.95897869696968
119.0,40.78391376923077,-73.97044415384615
120.0,40.74991425,-73.98105812500002
121.0,40.732795956521734,-73.98146526086956
122.0,40.77600141428573,-73.95015751428568
123.0,40.680436,-73.974697
124.0,40.72496136249998,-73.97827653750001
125.0,40.756417428571424,-73.99062142857143
126.0,40.72666356,-73.99449104
127.0,40.804078499999996,-73.955677125
128.0,40.73887509090909,-73.9946239090909
129.0,40.739466290909085,-73.98524739999999
130.0,40.72166175,-73.95817725
131.0,40.715576750000004,-73.93392562500001
132.0,40.760776954545456,-73.96931972727272
133.0,40.772010166666675,-73.9611076527778
134.0,40.683811999999996,-73.97702025
135.0,40.68286612499999,-73.9764614375
136.0,40.784426,-73.95201705882354
137.0,40.77117880000001,-73.96379810000002
138.0,40.76954800000001,-73.99502665714286
139.0,40.78664117567569,-73.97214901351349
